Listing.ListingId,Listing.Price.ClosePrice
mrd10801802,509570.26665432623
mrd10966126,310755.2460588952
mrd11165969,531944.2964872406
mrd11185881,270381.6571897363
mrd11198825,1729284.63489025
mrd11203997,520679.6177758092
mrd11225213,486994.36487113044
mrd11257626,100736.58150396337
mrd11295064,520679.6177758092
mrd11296257,520679.6177758092
mrd11325633,393960.6726878407
mrd11372731,350791.3451707042
mrd11425162,131609.19316049208
mrd11429964,884429.6635482966
mrd11434159,329086.1207117447
mrd11434162,325048.0053933842
mrd11461791,886270.2938080183
mrd11465979,401387.52726569213
mrd11615898,505017.4183469098
mrd11621536,321612.22062318376
mrd11637055,527208.2342168033
mrd11641496,215751.01453800822
mrd11657767,284950.5027701455
mrd11657859,203301.2376622962
mrd11667877,685023.0797089331
mrd11668467,477584.59289373376
mrd11683092,322848.3143581865
mrd11688641,526174.5895839466
mrd11695954,209020.30689097248
mrd11697538,384968.9713428452
mrd11701455,253821.13782141797
mrd11701529,409495.1959372361
mrd11705426,221374.72415757462
mrd11706848,1627932.4205316612
mrd11707457,395381.0370028
mrd11707537,1691819.1658458568
mrd11707575,671494.3701219267
mrd11709819,1356.8411652324073
mrd11713278,536618.9590680845
mrd11715708,2607916.8024394503
mrd11716349,178475.83939193466
mrd11718881,549589.5008435141
mrd11718991,472331.609804196
mrd11719655,323032.99628133775
mrd11721479,231635.44994561365
mrd11723649,147017.76451860787
mrd11728197,514720.33237819246
mrd11730176,220038.01387175015
mrd11731162,520679.6177758092
mrd11733236,1694706.8513501761
mrd11734992,250721.36139362754
mrd11735580,454449.81402064656
mrd11738834,520679.6177758092
mrd11742658,291748.7904622071
mrd11747536,231418.06636374135
mrd11748425,1068866.009624395
mrd11754623,326928.0226068097
mrd11755515,214442.38458606822
mrd11763903,258144.41851337257
mrd11767496,217813.95633554592
mrd11768241,1114932.0504671913
mrd11771621,744084.4047881583
mrd11771842,461727.33581330464
mrd11772577,291196.574764619
mrd11773253,1024752.1190455444
mrd11773945,520679.6177758092
mrd11774271,658182.799625078
mrd11774661,186648.55261613007
mrd11775452,397927.3745704098
mrd11777824,360626.57793536223
mrd11777930,531596.215720439
mrd11782583,393518.0606423585
mrd11783177,441713.4465556145
mrd11783733,763977.280006951
mrd11788663,1512485.6942805885
mrd11789191,350876.01386918174
mrd11789347,127412.37776341986
mrd11790598,508444.08468488464
mrd11791389,1867859.209221972
mrd11793708,170331.885043534
mrd11793731,345551.40104966663
mrd11794303,461727.33581330464
mrd11794844,146011.3913033894
mrd11795091,773771.6229271165
mrd11795286,431249.4798614096
mrd11795376,535099.4909726788
mrd11797631,175883.61713435277
mrd11797899,351181.9110186461
mrd11798018,351181.9110186461
mrd11798743,95959.05566321347
mrd11799145,510702.04058298894
mrd11799198,408973.2189866394
mrd11799205,206721.46700387364
mrd11800712,141094.44328396715
mrd11801292,441770.7837390302
mrd11803807,254737.38234406232
mrd11806324,148890.12181485954
mrd11806595,479363.04406012484
mrd11807441,255938.1025750565
mrd11808647,347002.8105711951
mrd11809085,634748.5918605919
mrd11810329,32582.9502603932
mrd11810464,224908.0690098457
mrd11811099,584646.3491576487
mrd11811156,239051.75168102555
mrd11811834,174273.19956732582
mrd11812050,921059.6732962037
mrd11812106,274366.492703727
mrd11812297,348592.42722336913
mrd11812463,204908.50399352078
mrd11813462,271728.394244528
mrd11816152,413943.10964251956
mrd11816196,465102.3466043647
mrd11816252,92948.70719969673
mrd11817462,703636.3671242354
mrd11817871,801005.0513042691
mrd11818570,481923.9042043444
mrd11818576,93402.34774890388
mrd11818998,1677909.2010372719
mrd11820164,289814.6047080956
mrd11821001,374231.89377557545
mrd11821076,1205411.9803615413
mrd11822234,415523.18750275916
mrd11822649,1626068.225658794
mrd11824833,194572.37223663132
mrd11824849,310120.27100343787
mrd11827229,360461.54571456334
mrd11827257,245991.37091782613
mrd11829349,656920.2391247851
mrd11830042,80787.19533520506
mrd11830824,276221.27170524275
mrd11831846,223061.10030778847
mrd11832479,535146.2241732042
mrd11832618,1098059.703973074
mrd11833219,599281.656849028
mrd11833324,1001856.9554224276
mrd11833542,479363.04406012484
mrd11833828,963914.2300475967
mrd11833847,465868.61091245053
mrd11834996,176139.59467582768
mrd11835772,277483.397433641
mrd11835925,305314.7425306996
mrd11837193,2026504.5208073012
mrd11838921,198607.39179190318
mrd11839414,436599.61102452985
mrd11840134,550393.0119279671
mrd11840199,425461.8042172194
mrd11840602,445329.16269263515
mrd11840784,629788.4265875622
mrd11840873,935245.1174971035
mrd11841603,395179.8202121372
mrd11841619,421758.94321004435
mrd11842696,576896.8361882296
mrd11844448,751304.490433859
mrd11844771,196769.49243208845
mrd11844977,466082.6092451201
mrd11845341,198701.00276597321
mrd11846441,1491859.6030218583
mrd11847034,318346.61092394736
mrd11847125,639549.4786674937
mrd11847649,486222.8858082931
mrd11848698,405996.56152532005
mrd11850593,167977.98926780903
mrd11850896,559131.9908041733
mrd11851711,384422.89118026453
mrd11852427,478054.0820718208
mrd11852703,336871.64894747204
mrd11853152,198446.55821881015
mrd11853613,49336.1793341367
mrd11854357,255632.5020527799
mrd11855535,337918.3596301331
mrd11856052,118285.78306852106
mrd11856077,473514.12120979384
mrd11856634,2832895.1029190435
mrd11857826,782909.1273992427
mrd11858033,489646.78505904233
mrd11858804,56751.514367674565
mrd11859142,412189.56453035155
mrd11859531,319601.2577895921
mrd11861899,482585.27162681066
mrd11862321,313186.61041825236
mrd11862524,68530.010601673
mrd11862927,341245.2019825416
mrd11863015,738084.0766870449
mrd11863184,1614905.966559323
mrd11863480,149724.2151187077
mrd11864115,1058359.1029383084
mrd11864282,236872.44883815316
mrd11864306,559889.0531614956
mrd11864525,774987.2845106688
mrd11864549,248897.98155779563
mrd11865087,382811.94563822704
mrd11865318,337848.69782926724
mrd11865658,496347.1905617465
mrd11865674,263591.98875166976
mrd11865687,125591.53464167067
mrd11866134,725868.2994726626
mrd11866171,143138.51100439753
mrd11866367,513588.71842818096
mrd11866877,206856.12582141772
mrd11868026,478054.0820718208
mrd11868038,437233.1469633053
mrd11868048,549087.3966241113
mrd11868314,545178.9041999005
mrd11868446,413706.12240585603
mrd11868510,327437.1709192819
mrd11869124,310922.8895429864
mrd11869505,140133.53003481962
mrd11869655,651696.0570002967
mrd11871249,1389693.408142279
mrd11871632,309897.3477425728
mrd11871795,505017.4183469098
mrd11871867,427160.98554382985
mrd11872406,399747.6350291408
mrd11872688,165856.32429026868
mrd11872947,253242.13994162082
mrd11873127,1207955.2779291163
mrd11873547,115265.44864401933
mrd11873936,71630.15676552155
mrd11873979,256761.24715889653
mrd11874927,490551.80471301894
mrd11875977,131690.36163654114
mrd11876759,77785.69137143942
mrd11876767,454518.3088661954
mrd11877646,164440.47983135137
mrd11877675,199079.7324243288
mrd11877942,264639.77420263214
mrd11878206,142520.38130555802
mrd11879138,404893.2361152989
mrd11879186,167652.41426344906
mrd11879665,424224.81051589025
mrd11879866,511332.0616712506
mrd11880786,303556.7967893643
mrd11880959,224005.05815521991
mrd11882731,324190.0402917356
mrd11882937,671360.2053313057
mrd11883560,1225018.7364509485
mrd11883833,153983.58769115794
mrd11884018,178057.3212162396
mrd11884395,312586.79218279646
